2018-03-04 10:46:40,286 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@ee9f2e8] to [INITIALIZED]
2018-03-04 10:46:40,286 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@ee9f2e8] to [STARTING_PREP]
2018-03-04 10:46:40,286 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@ee9f2e8] to [STARTING]
2018-03-04 10:46:40,286 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@ee9f2e8] to [STARTED]
2018-03-04 10:46:40,286 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7ea4ece5] to [INITIALIZING]
2018-03-04 10:46:40,286 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7ea4ece5] to [INITIALIZED]
2018-03-04 10:46:40,286 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7ea4ece5] to [STARTING_PREP]
2018-03-04 10:46:40,286 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7ea4ece5] to [STARTING]
2018-03-04 10:46:40,286 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7ea4ece5] to [STARTED]
2018-03-04 10:46:40,286 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@15f47d2d] to [INITIALIZING]
2018-03-04 10:46:40,287 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@15f47d2d] to [INITIALIZED]
2018-03-04 10:46:40,287 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@15f47d2d] to [STARTING_PREP]
2018-03-04 10:46:40,287 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@15f47d2d] to [STARTING]
2018-03-04 10:46:40,287 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@15f47d2d] to [STARTED]
2018-03-04 10:46:40,287 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@4078a918] to [INITIALIZING]
2018-03-04 10:46:40,287 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@4078a918] to [INITIALIZED]
2018-03-04 10:46:40,287 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@4078a918] to [STARTING_PREP]
2018-03-04 10:46:40,287 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@4078a918] to [STARTING]
2018-03-04 10:46:40,287 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@4078a918] to [STARTED]
2018-03-04 10:46:40,287 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@24f34a5a] to [INITIALIZING]
