2018-03-01 20:41:16,118 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[Container is null]] to [DESTROYED]
2018-03-01 20:41:16,118 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost].StandardContext[].StandardWrapper[default]]] to [DESTROYED]
2018-03-01 20:41:16,121 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[].StandardWrapper[default]] to [DESTROYED]
2018-03-01 20:41:16,121 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[].StandardWrapper[jsp]] to [DESTROYING]
2018-03-01 20:41:16,121 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost].StandardContext[].StandardWrapper[jsp]]] to [DESTROYING]
2018-03-01 20:41:16,121 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[Container is null]] to [DESTROYING]
2018-03-01 20:41:16,121 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[Container is null]] to [DESTROYED]
2018-03-01 20:41:16,123 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost].StandardContext[].StandardWrapper[jsp]]] to [DESTROYED]
2018-03-01 20:41:16,124 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[].StandardWrapper[jsp]] to [DESTROYED]
2018-03-01 20:41:16,162 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost].StandardContext[]]] to [STOPPING_PREP]
2018-03-01 20:41:16,166 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost].StandardContext[]]] to [STOPPING]
2018-03-01 20:41:16,169 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardContextValve[]] to [STOPPING_PREP]
2018-03-01 20:41:16,169 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardContextValve[]] to [STOPPING]
2018-03-01 20:41:16,169 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardContextValve[]] to [STOPPED]
2018-03-01 20:41:16,169 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost].StandardContext[]]] to [STOPPED]
2018-03-01 20:41:16,172 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [WebappLoader[]] to [STOPPING_PREP]
2018-03-01 20:41:16,172 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [WebappLoader[]] to [STOPPING]
2018-03-01 20:41:16,296 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [WebappLoader[]] to [STOPPED]
2018-03-01 20:41:16,296 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.StandardRoot@b0d08d2] to [STOPPING_PREP]
2018-03-01 20:41:16,296 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.DirResourceSet@4fa2b131] to [STOPPING_PREP]
