2018-01-26 12:06:21,077 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@29229735] to [INITIALIZING]
2018-01-26 12:06:21,077 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@29229735] to [INITIALIZED]
2018-01-26 12:06:21,077 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@29229735] to [STARTING_PREP]
2018-01-26 12:06:21,077 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@29229735] to [STARTING]
2018-01-26 12:06:21,077 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@29229735] to [STARTED]
2018-01-26 12:06:21,077 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@44066ab] to [INITIALIZING]
2018-01-26 12:06:21,078 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@44066ab] to [INITIALIZED]
2018-01-26 12:06:21,078 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@44066ab] to [STARTING_PREP]
2018-01-26 12:06:21,078 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@44066ab] to [STARTING]
2018-01-26 12:06:21,078 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@44066ab] to [STARTED]
2018-01-26 12:06:21,079 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@e77dd99] to [INITIALIZING]
2018-01-26 12:06:21,079 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@e77dd99] to [INITIALIZED]
2018-01-26 12:06:21,079 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@e77dd99] to [STARTING_PREP]
2018-01-26 12:06:21,079 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@e77dd99] to [STARTING]
2018-01-26 12:06:21,079 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@e77dd99] to [STARTED]
2018-01-26 12:06:21,079 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@76c2d67a] to [INITIALIZING]
2018-01-26 12:06:21,080 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@76c2d67a] to [INITIALIZED]
2018-01-26 12:06:21,080 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@76c2d67a] to [STARTING_PREP]
2018-01-26 12:06:21,080 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@76c2d67a] to [STARTING]
2018-01-26 12:06:21,080 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@76c2d67a] to [STARTED]
2018-01-26 12:06:21,080 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@a39ba6a] to [INITIALIZING]
2018-01-26 12:06:21,080 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@a39ba6a] to [INITIALIZED]
2018-01-26 12:06:21,081 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@a39ba6a] to [STARTING_PREP]
2018-01-26 12:06:21,081 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@a39ba6a] to [STARTING]
2018-01-26 12:06:21,081 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@a39ba6a] to [STARTED]
2018-01-26 12:06:21,081 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ac29327] to [INITIALIZING]
2018-01-26 12:06:21,081 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ac29327] to [INITIALIZED]
