2018-03-03 22:22:58,089 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@750a7fa5] to [STARTING]
2018-03-03 22:22:58,089 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@750a7fa5] to [STARTED]
2018-03-03 22:22:58,089 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@699ac0d7] to [INITIALIZING]
2018-03-03 22:22:58,089 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@699ac0d7] to [INITIALIZED]
2018-03-03 22:22:58,089 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@699ac0d7] to [STARTING_PREP]
2018-03-03 22:22:58,089 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@699ac0d7] to [STARTING]
2018-03-03 22:22:58,089 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@699ac0d7] to [STARTED]
2018-03-03 22:22:58,089 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@179351a7] to [INITIALIZING]
2018-03-03 22:22:58,090 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@179351a7] to [INITIALIZED]
2018-03-03 22:22:58,090 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@179351a7] to [STARTING_PREP]
2018-03-03 22:22:58,090 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@179351a7] to [STARTING]
2018-03-03 22:22:58,090 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@179351a7] to [STARTED]
2018-03-03 22:22:58,090 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@22a9be27] to [INITIALIZING]
2018-03-03 22:22:58,091 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@22a9be27] to [INITIALIZED]
2018-03-03 22:22:58,091 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@22a9be27] to [STARTING_PREP]
2018-03-03 22:22:58,091 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@22a9be27] to [STARTING]
2018-03-03 22:22:58,091 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@22a9be27] to [STARTED]
2018-03-03 22:22:58,091 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7ca256] to [INITIALIZING]
2018-03-03 22:22:58,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7ca256] to [INITIALIZED]
2018-03-03 22:22:58,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7ca256] to [STARTING_PREP]
2018-03-03 22:22:58,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7ca256] to [STARTING]
2018-03-03 22:22:58,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7ca256] to [STARTED]
2018-03-03 22:22:58,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5538878a] to [INITIALIZING]
2018-03-03 22:22:58,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5538878a] to [INITIALIZED]
